name,military record.organization,military record.rank
"Sagelhurst, John C.",U.S. Army,Sergeant
"Hack, John",U.S. Army,Private
"Carson, Anthony J.",U.S. Army,Corporal
"Defranzos, Arthur F.",U.S. Army,Staff Sergeant
"Kessler, Patrick L.",U.S. Army,Private First Class
"Pinder, John J.",U.S. Army,Technician Fifth Grade
"Vance, Leon R.",U.S. Army,Lieutenant Colonel
"Boers, Edward William",U.S. Navy,Seaman
"Brock, George F.",U.S. Navy,Carpenter's Mate Second Class
"Clausey, John J.",U.S. Navy,Chief Gunner's Mate
"Cronan, Willie",U.S. Navy,Boatswain's Mate
"Davis, Raymond E.",U.S. Navy,Quartermaster
"Fredericksen, Emil",U.S. Navy,Watertender
"Grbitch, Rade",U.S. Navy,Seaman
"Hill, Frank E.",U.S. Navy,Ship's Cook First Class
"Nelson, Oscar Frederick",U.S. Navy,Machinist's Mate First Class
"Schmidt, Otto Diller",U.S. Navy,Seaman
"Shacklette, William Sidney",U.S. Navy,Hospital Steward
"Kearby, Neel E.",U.S. Army,Colonel
"Knight, Noah O.",U.S. Army,Private First Class
"Dervishian, Ernest H.",U.S. Army,Second Lieutenant
"Mcgovern, Robert M.",U.S. Army,First Lieutenant
"Jordan, Mack A.",U.S. Army,Private First Class
"Burke, Frank",U.S. Army,First Lieutenant
"Lyell, William F.",U.S. Army,Corporal
"Church, James Robb",U.S. Army,Assistant Surgeon
"Semple, Robert",U.S. Navy,Chief Gunner
"Bertoldo, Vito R.",U.S. Army,Master Sergeant
"Gilliland, Charles L.",U.S. Army,Corporal
"Dunham, Jason L.",U.S. Marine Corps,Corporal
"Shea, Charles W.",U.S. Army,Second Lieutenant
"Womack, Bryant H.",U.S. Army,Private First Class
"Charette, William R.",U.S. Navy,Hospital Corpsman Third Class
"West, Ernest E.",U.S. Army,Private First Class
"Collier, Gilbert G.",U.S. Army,Sergeant
"Wilbur, William H.",U.S. Army,Colonel
"Baker, Vernon",U.S. Army,First Lieutenant
"Schoonover, Dan D.",U.S. Army,Corporal
"Avery, James",U.S. Navy,Seaman
"Baker, Charles",U.S. Navy,Quarter Gunner
"Hawks, Lloyd C.",U.S. Army,Private First Class
"Michael, Edward S.",U.S. Army,First Lieutenant
"Montgomery, Jack C.",U.S. Army,First Lieutenant
"Newman, Beryl R.",U.S. Army,First Lieutenant
"Powers, Leo J.",U.S. Army,Private First Class
"Dix, Drew Dennis",U.S. Army,Staff Sergeant
"Jackson, Joe M.",U.S. Air Force,Lieutenant Colonel
"Roosevelt, Theodore",U.S. Army,Lieutenant Colonel
"Fisher, Bernard Francis",U.S. Air Force,Major
"Day, James L.",U.S. Marine Corps,Corporal
"Hamilton, Pierpont M.",U.S. Army,Major
"Lyon, Edward E.",U.S. Army,Private
"Kelly, John D.",U.S. Army,Technical Sergeant
"Olson, Truman O.",U.S. Army,Sergeant
"Smith, Furman L.",U.S. Army,Private
"Reisinger, J. Monroe",U.S. Army,Corporal
"Beaudoin, Raymond O.",U.S. Army,First Lieutenant
"May, Martin O.",U.S. Army,Private First Class
"Schowalter, Edward R.",U.S. Army,First Lieutenant
"Grant, Joseph Xavier",U.S. Army,Captain
"Ammerman, Robert W.",U.S. Army,Private
"Smith, Andrew Jackson",U.S. Army,Corporal
"Bender, Stanley",U.S. Army,Staff Sergeant
"Galt, William Wylie",U.S. Army,Captain
"Bennett, Emory L.",U.S. Army,Private First Class
"Brittin, Nelson V.",U.S. Army,Sergeant First Class
"Edwards, Junior D.",U.S. Army,Sergeant First Class
"Goodblood, Clair",U.S. Army,Corporal
"Hanson, Jack G.",U.S. Army,Private First Class
"Hartell, Lee R.",U.S. Army,First Lieutenant
"Kyle, Darwin K.",U.S. Army,Second Lieutenant
"Long, Charles R.",U.S. Army,Sergeant
"Moyer, Donald R.",U.S. Army,Sergeant First Class
"Sitman, William S.",U.S. Army,Sergeant First Class
"Cholister, George Robert",U.S. Navy,Boatswain's Mate First Class
"Drexler, Henry Clay",U.S. Navy,Ensign
"Edwards, Walter Atlee",U.S. Navy,Lieutenant Commander
"Carswell, Horace",U.S. Army,Major
"Lee, Daniel W.",U.S. Army,First Lieutenant
